Date,"Retail Price of Electricity for All Sectors, U.S. Total, Monthly (cents per kilowatt hour)"
1/1/1990,6.27
2/1/1990,6.34
3/1/1990,6.37
4/1/1990,6.35
5/1/1990,6.46
6/1/1990,6.71
7/1/1990,6.93
8/1/1990,6.89
9/1/1990,6.86
10/1/1990,6.67
11/1/1990,6.46
12/1/1990,6.44
1/1/1991,6.44
2/1/1991,6.53
3/1/1991,6.55
4/1/1991,6.53
5/1/1991,6.64
6/1/1991,6.93
7/1/1991,7.1
8/1/1991,7.08
9/1/1991,7.02
10/1/1991,6.87
11/1/1991,6.6
12/1/1991,6.57
1/1/1992,6.58
2/1/1992,6.58
3/1/1992,6.61
4/1/1992,6.58
5/1/1992,6.73
6/1/1992,7
7/1/1992,7.19
8/1/1992,7.16
9/1/1992,7.15
10/1/1992,6.92
11/1/1992,6.65
12/1/1992,6.66
1/1/1993,6.61
2/1/1993,6.59
3/1/1993,6.58
4/1/1993,6.61
5/1/1993,6.81
6/1/1993,7.13
7/1/1993,7.36
8/1/1993,7.35
9/1/1993,7.32
10/1/1993,7.15
11/1/1993,6.74
12/1/1993,6.65
1/1/1994,6.66
2/1/1994,6.69
3/1/1994,6.68
4/1/1994,6.67
5/1/1994,6.8
6/1/1994,7.17
7/1/1994,7.37
8/1/1994,7.29
9/1/1994,7.25
10/1/1994,6.91
11/1/1994,6.65
12/1/1994,6.64
1/1/1995,6.6
2/1/1995,6.68
3/1/1995,6.66
4/1/1995,6.65
5/1/1995,6.74
6/1/1995,7.1
7/1/1995,7.35
8/1/1995,7.34
9/1/1995,7.08
10/1/1995,6.95
11/1/1995,6.7
12/1/1995,6.64
1/1/1996,6.61
2/1/1996,6.6
3/1/1996,6.65
4/1/1996,6.63
5/1/1996,6.77
6/1/1996,7.03
7/1/1996,7.27
8/1/1996,7.3
9/1/1996,7.16
10/1/1996,6.91
11/1/1996,6.65
12/1/1996,6.58
1/1/1997,6.62
2/1/1997,6.61
3/1/1997,6.66
4/1/1997,6.59
5/1/1997,6.72
6/1/1997,7.08
7/1/1997,7.25
8/1/1997,7.23
9/1/1997,7.12
10/1/1997,6.9
11/1/1997,6.65
12/1/1997,6.6
1/1/1998,6.57
2/1/1998,6.52
3/1/1998,6.53
4/1/1998,6.51
5/1/1998,6.67
6/1/1998,6.97
7/1/1998,7.21
8/1/1998,7.14
9/1/1998,6.95
10/1/1998,6.69
11/1/1998,6.39
12/1/1998,6.46
1/1/1999,6.42
2/1/1999,6.5
3/1/1999,6.43
4/1/1999,6.4
5/1/1999,6.5
6/1/1999,6.83
7/1/1999,7.11
8/1/1999,7.08
9/1/1999,6.87
10/1/1999,6.7
11/1/1999,6.39
12/1/1999,6.41
1/1/2000,6.4
2/1/2000,6.39
3/1/2000,6.44
4/1/2000,6.43
5/1/2000,6.64
6/1/2000,7.06
7/1/2000,7.25
8/1/2000,7.34
9/1/2000,7.11
10/1/2000,6.94
11/1/2000,6.66
12/1/2000,6.85
1/1/2001,6.75
2/1/2001,6.87
3/1/2001,7.01
4/1/2001,7.02
5/1/2001,7.17
6/1/2001,7.58
7/1/2001,7.87
8/1/2001,7.84
9/1/2001,7.62
10/1/2001,7.43
11/1/2001,7.02
12/1/2001,7.03
1/1/2002,6.95
2/1/2002,6.97
3/1/2002,6.95
4/1/2002,6.95
5/1/2002,7.11
6/1/2002,7.45
7/1/2002,7.68
8/1/2002,7.58
9/1/2002,7.36
10/1/2002,7.2
11/1/2002,6.94
12/1/2002,6.96
1/1/2003,7
2/1/2003,7.05
3/1/2003,7.16
4/1/2003,7.27
5/1/2003,7.42
6/1/2003,7.78
7/1/2003,8.02
8/1/2003,7.97
9/1/2003,7.61
10/1/2003,7.39
11/1/2003,7.19
12/1/2003,7.14
1/1/2004,7.22
2/1/2004,7.25
3/1/2004,7.3
4/1/2004,7.34
5/1/2004,7.46
6/1/2004,7.93
7/1/2004,8.11
8/1/2004,8.18
9/1/2004,7.97
10/1/2004,7.6
11/1/2004,7.42
12/1/2004,7.36
1/1/2005,7.41
2/1/2005,7.53
3/1/2005,7.55
4/1/2005,7.62
5/1/2005,7.82
6/1/2005,8.35
7/1/2005,8.57
8/1/2005,8.68
9/1/2005,8.63
10/1/2005,8.33
11/1/2005,8.17
12/1/2005,8.14
1/1/2006,8.31
2/1/2006,8.49
3/1/2006,8.44
4/1/2006,8.56
5/1/2006,8.71
6/1/2006,9.3
7/1/2006,9.55
8/1/2006,9.58
9/1/2006,9.32
10/1/2006,8.89
11/1/2006,8.63
12/1/2006,8.55
1/1/2007,8.71
2/1/2007,8.74
3/1/2007,8.8
4/1/2007,8.82
5/1/2007,8.96
6/1/2007,9.45
7/1/2007,9.64
8/1/2007,9.68
9/1/2007,9.43
10/1/2007,9.17
11/1/2007,8.94
12/1/2007,8.91
1/1/2008,8.92
2/1/2008,8.9
3/1/2008,9.03
4/1/2008,9.22
5/1/2008,9.47
6/1/2008,10.27
7/1/2008,10.65
8/1/2008,10.59
9/1/2008,10.27
10/1/2008,9.94
11/1/2008,9.67
12/1/2008,9.53
1/1/2009,9.68
2/1/2009,9.78
3/1/2009,9.64
4/1/2009,9.57
5/1/2009,9.77
6/1/2009,10.13
7/1/2009,10.28
8/1/2009,10.27
9/1/2009,10.09
10/1/2009,9.7
11/1/2009,9.34
12/1/2009,9.4
1/1/2010,9.28
2/1/2010,9.47
3/1/2010,9.48
4/1/2010,9.53
5/1/2010,9.72
6/1/2010,10.18
7/1/2010,10.46
8/1/2010,10.4
9/1/2010,10.17
10/1/2010,9.81
11/1/2010,9.55
12/1/2010,9.52
1/1/2011,9.48
2/1/2011,9.56
3/1/2011,9.55
4/1/2011,9.54
5/1/2011,9.78
6/1/2011,10.26
7/1/2011,10.47
8/1/2011,10.49
9/1/2011,10.29
10/1/2011,9.83
11/1/2011,9.58
12/1/2011,9.53
1/1/2012,9.61
2/1/2012,9.58
3/1/2012,9.52
4/1/2012,9.47
5/1/2012,9.64
6/1/2012,10.13
7/1/2012,10.3
8/1/2012,10.32
9/1/2012,10.26
10/1/2012,9.74
11/1/2012,9.58
12/1/2012,9.64
1/1/2013,9.64
2/1/2013,9.77
3/1/2013,9.71
4/1/2013,9.66
5/1/2013,9.92
6/1/2013,10.45
7/1/2013,10.69
8/1/2013,10.58
9/1/2013,10.43
10/1/2013,10.02
11/1/2013,9.79
12/1/2013,9.86
1/1/2014,10.12
2/1/2014,10.33
3/1/2014,10.28
4/1/2014,10
5/1/2014,10.21
6/1/2014,10.75
7/1/2014,11.03
8/1/2014,10.91
9/1/2014,10.83
10/1/2014,10.34
11/1/2014,10.13
12/1/2014,10.12
1/1/2015,10.18
2/1/2015,10.36
3/1/2015,10.29
4/1/2015,10.01
5/1/2015,10.21
6/1/2015,10.64
7/1/2015,10.95
8/1/2015,10.85
9/1/2015,10.79
10/1/2015,10.31
11/1/2015,10.05
12/1/2015,9.98
1/1/2016,9.97
2/1/2016,10
3/1/2016,10
4/1/2016,9.83
5/1/2016,10.06
6/1/2016,10.52
7/1/2016,10.7
8/1/2016,10.81
9/1/2016,10.68
10/1/2016,10.15
11/1/2016,10.1
12/1/2016,10.09
1/1/2017,10.13
2/1/2017,10.28
3/1/2017,10.28
4/1/2017,10.07
5/1/2017,10.34
6/1/2017,10.83
7/1/2017,10.95
8/1/2017,10.91
9/1/2017,10.86
10/1/2017,10.4
11/1/2017,10.28
12/1/2017,10.17
1/1/2018,10.47
2/1/2018,10.48
3/1/2018,10.4
4/1/2018,10.23
5/1/2018,10.41
6/1/2018,10.79
7/1/2018,11.03
8/1/2018,11.02
9/1/2018,10.7
10/1/2018,10.46
11/1/2018,10.43
12/1/2018,10.27
1/1/2019,10.29
2/1/2019,10.43
3/1/2019,10.38
4/1/2019,10.31
5/1/2019,10.43
6/1/2019,10.8
7/1/2019,11.06
8/1/2019,10.98163
9/1/2019,10.69525
10/1/2019,10.46704
11/1/2019,10.43416
12/1/2019,10.25708
1/1/2020,10.30594
2/1/2020,10.41183
3/1/2020,10.3613
4/1/2020,10.33851
5/1/2020,10.45436
6/1/2020,10.85273
7/1/2020,11.09618
8/1/2020,11.12406
9/1/2020,10.81302
10/1/2020,10.57964
11/1/2020,10.57496
12/1/2020,10.4051
