Net generation for all sectors,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States : all fuels (utility-scale),3736644,3858452,3883185,3970555,4055423,4064702,4156745,4119388,3950331,4125060,4100141,4047765,4065964,4093606,4077601,4076675,4034271,4170912
United States : coal,1903956,1933130,1973737,1978301,2012873,1990511,2016456,1985801,1755904,1847290,1733430,1514043,1581115,1581710,1352398,1239149,1205835,1145962
United States : petroleum liquids,114647,78701,102734,100391,99840,44460,49505,31917,25972,23337,16086,13403,13820,18276,17372,13008,12414,16245
United States : petroleum coke,10233,15867,16672,20754,22385,19706,16234,14325,12964,13724,14096,9787,13344,11955,10877,11197,8976,8981
United States : natural gas,639129,691006,649908,710100,760960,816441,896590,882981,920979,987697,1013689,1225894,1124836,1126609,1333482,1378307,1296415,1468727
United States : other gases,9039,11463,15600,15252,13464,14177,13453,11707,10632,11313,11566,11898,12853,12022,13117,12807,12469,13463
United States : nuclear,768826,780064,763733,788528,781986,787219,806425,806208,798855,806968,790204,769331,789016,797166,797178,805694,804950,807084
United States : conventional hydroelectric,216961,264329,275806,268417,270321,289246,247510,254831,273445,260203,319355,276240,268565,259367,249080,267812,300333,292524
United States : wind,6737,10354,11187,14144,17811,26589,34450,55363,73886,94652,120177,140822,167840,181655,190719,226993,254303,272650
United States : all utility-scale solar,543,555,534,575,550,508,612,864,891,1212,1818,4327,9036,17691,24893,36054,53286,63825
United States : geothermal,13741,14491,14424,14811,14692,14568,14637,14840,15009,15219,15316,15562,15775,15877,15918,15826,15927,15967
United States : biomass,49748,53709,53341,53537,54277,54861,55539,55034,54493,56089,56671,57622,60858,63989,63632,62760,62762,58416
United States : wood and wood-derived fuels,35200,38665,37529,38117,38856,38762,39014,37300,36050,37172,37449,37799,40028,42340,41929,40947,41152,41005
United States : other biomass,14548,15044,15812,15421,15420,16099,16525,17734,18443,18917,19222,19823,20830,21650,21703,21813,21610,17410
United States : hydro-electric pumped storage,-8823,-8743,-8535,-8488,-6558,-6558,-6896,-6288,-4627,-5501,-6421,-4950,-4681,-6174,-5091,-6686,-6495,-5905
United States : other,11906,13527,14045,14232,12821,12974,12231,11804,11928,12855,14154,13787,13588,13461,14028,13754,13096,12973
United States : all solar,0,0,0,0,0,0,0,0,0,0,0,0,0,28924,39032,54866,77276,93365
United States : small-scale solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,0,11233,14139,18812,23990,29539
United States : all utility-scale solar,543,555,534,575,550,508,612,864,891,1212,1818,4327,9036,17691,24893,36054,53286,63825
