type of power plants,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
sum of supply,140486,148745,151294,155144,159417,153609,155292,153791,149718,156070,156518,159659,165105,163615,163893,172779,166842,159721,168100,173634,160847,164793,162404,150452,163187,163644,177982,165829,167514,171352,170418,176146
hydro,60933,71854,69883,71750,72509,63249,74364,74647,59097,68096,51740,69056,74743,71691,78584,79061,66358,53540,60588,72692,61638,66163,68997,65414,67176,67064,78939,61361,63763,75312,62137,65066
pumped storage,567,594,589,175,530,426,529,565,353,58,35,43,40,22,35,22,35,58,43,71,69,102,105,196,103,122,126,135,108,127,119,102
nuclear,69951,67385,69424,65603,68185,76761,63544,61395,73156,69935,74274,69928,73583,73188,57316,72109,68111,67415,77671,72691,66977,66969,63889,52173,57728,60475,64037,66457,64877,56348,63101,65696
main activity producer CHP,3550,3311,2861,2310,2290,3540,4136,4929,5325,5658,6450,5472,5991,5516,4545,5369,5824,6901,7615,6914,7512,7607,7670,9828,12721,10549,9341,9159,7410,7843,9122,9018
autoproducer CHP,2896,2837,2950,2889,2650,2978,3164,3616,3920,3928,4103,4286,4052,4063,4307,4067,4692,4775,4766,4977,5328,5914,6283,6107,6468,6000,6333,5844,5785,5816,5727,6203
wind,0,0,0,0,0,0,0,52,75,105,144,203,308,358,457,482,608,679,850,949,988,1432,1996,2485,3502,6101,7165,9842,11234,16268,15479,17609
solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,35,47,97,143,230
condensing turbines,690,509,462,278,288,366,611,463,966,473,3869,453,279,309,305,474,1065,1940,915,734,776,528,690,460,535,830,329,311,426,235,288,318
gas-turbines for reserve and others,64,81,61,85,55,64,98,145,147,96,17,9,8,11,35,31,37,127,7,31,12,27,20,18,22,10,12,11,12,11,14,8
import,1835,2174,5064,12053,12909,6225,8847,7979,6680,7720,15885,10252,6102,8456,18309,11164,20110,24286,15646,14574,17547,16051,12754,13771,14932,12481,11680,12674,13852,9294,14287,11896
