type of power plants,Net 1986,Net 1987,Net 1988,Net 1989,Net 1990,Net 1991,Net 1992,Net 1993,Net 1994,Net 1995,Net 1996,Net 1997,Net 1998,Net 1999,Net 2000,Net 2001,Net 2002,Net 2003,Net 2004,Net 2005,Net 2006,Net 2007,Net 2008,Net 2009,Net 2010,Net 2011,Net 2012,Net 2013,Net 2014,Net 2015,Net 2016,Net 2017
sum of supply,135520,143695,146174,150902,154622,148656,150626,149191,145069,151847,152391,155492,160654,159226,160181,168799,163344,156821,164470,169558,157786,160937,158715,146971,159844,160009,174124,161872,163808,168230,166786,172377
hydro,60134,70950,69015,70914,71676,62499,73524,73809,58375,67247,51100,68227,73846,70872,77862,78428,65827,53112,60103,72032,61145,65634,68595,64973,66773,66661,78466,60993,63380,74861,61764,64676
pumped storage,-243,-254,-252,-75,-227,-183,-227,-242,-151,-25,-15,-19,-17,-10,-14,-10,-16,-25,-18,-22,-29,-43,-46,-84,-44,-52,-54,-58,-46,-55,-51,-44
nuclear,66884,64341,66274,62687,65225,73484,60774,58761,70086,66978,71362,66914,70500,70200,54772,69211,65550,65454,75000,69764,64983,64279,61266,49987,55626,58026,61393,63597,62185,54347,60542,63008
main activity producer CHP,3443,3212,2775,2241,2221,3433,4012,4781,5165,5489,6257,5284,5686,5220,4370,5120,5650,6694,7382,6736,7249,7341,7402,9484,12276,10180,9015,8839,7151,7568,8803,8703
autoproducer CHP,2807,2761,2871,2813,2582,2905,3087,3533,3832,3844,4029,4220,4002,3887,4151,3918,4552,4637,4620,4821,5142,5707,6063,5894,6242,5790,6111,5640,5583,5613,5527,5986
wind,0,0,0,0,0,0,0,52,75,105,144,203,308,358,456,482,608,679,850,949,988,1432,1996,2485,3502,6101,7165,9842,11234,16268,15479,17609
solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,35,47,97,143,230
condensing turbines,617,446,377,200,204,292,524,389,872,401,3622,387,224,239,251,462,1033,1882,887,680,749,510,666,444,517,801,318,300,411,227,278,307
gas-turbines for reserve and others,43,65,50,70,31,50,84,131,136,89,8,5,3,8,25,24,30,102,0,22,12,26,19,17,21,9,12,11,11,11,14,8
import,1835,2174,5064,12053,12909,6225,8847,7979,6680,7720,15885,10252,6102,8456,18309,11164,20110,24286,15646,14574,17547,16051,12754,13771,14932,12481,11680,12674,13852,9294,14287,11896
