type of power plants,Own use 1986,Own use 1987,Own use 1988,Own use 1989,Own use 1990,Own use 1991,Own use 1992,Own use 1993,Own use 1994,Own use 1995,Own use 1996,Own use 1997,Own use 1998,Own use 1999,Own use 2000,Own use 2001,Own use 2002,Own use 2003,Own use 2004,Own use 2005,Own use 2006,Own use 2007,Own use 2008,Own use 2009,Own use 2010,Own use 2011,Own use 2012,Own use 2013,Own use 2014,Own use 2015,Own use 2016,Own use 2017
sum of supply,4966,5050,5120,4242,4795,4953,4666,4600,4649,4223,4127,4167,4451,4389,3712,3980,3498,2900,3630,4076,3061,3856,3689,3482,3343,3635,3858,3957,3706,3122,3632,3768
hydro,799,904,868,836,833,750,840,838,722,849,640,829,897,819,722,633,531,428,485,660,493,529,402,441,403,402,474,368,383,452,373,390
pumped storage,810,848,841,250,757,609,756,807,504,83,50,62,57,32,49,32,51,83,61,93,98,145,151,281,147,175,180,192,155,182,170,146
nuclear,3067,3044,3150,2916,2960,3277,2770,2634,3070,2957,2912,3014,3083,2988,2544,2898,2561,1961,2671,2927,1994,2690,2623,2186,2102,2449,2644,2860,2692,2001,2559,2688
main activity producer CHP,107,99,86,69,69,107,124,148,160,169,193,188,305,296,175,249,174,207,233,178,263,266,268,344,445,369,327,321,259,274,319,316
autoproducer CHP,89,76,79,76,68,73,77,83,88,84,74,66,50,176,156,149,140,138,146,156,186,207,220,214,226,210,222,205,202,204,200,217
wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing turbines,73,63,85,78,84,74,87,74,94,72,247,66,55,70,54,12,32,58,28,54,27,18,24,16,19,29,12,11,15,8,10,11
gas-turbines for reserve and others,21,16,11,15,24,14,14,14,11,7,9,4,5,3,10,7,7,25,7,9,0,1,1,1,1,0,0,0,0,0,0,0
import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
